Solar,Wind
0,0.68801785
0,0.5957079
0,0.48564005
0,0.37961134
0,0.26450807
0,0.24015568
0,0.27338895
0.062434666,0.33271432
0.22298716,0.30121875
0.3750049,0.50664026
0.48406145,0.6701756
0.5297521,0.72527957
0.5235859,0.7059324
0.45925826,0.66549706
0.3418413,0.6351706
0.18328598,0.5731308
0.032466654,0.52259487
0,0.5369141
0,0.5534554
0,0.591649
0,0.59161365
0,0.58868265
0,0.5773452
0,0.5590244
0,0.4875025
0,0.43260762
0,0.3681363
0,0.3395218
0,0.30748054
0,0.3109296
0,0.41341534
0.06299984,0.5252388
0.22071216,0.49653384
0.36966377,0.58868843
0.47408634,0.6432488
0.5143476,0.6644685
0.5076299,0.636754
0.44584382,0.6163315
0.33208102,0.59217054
0.1796575,0.55703133
0.033464145,0.6341379
0,0.67410403
0,0.70985556
0,0.7168184
0,0.74126226
0,0.75096345
0,0.7248833
0,0.6624729
0,0.58016735
0,0.48575816
0,0.38614866
0,0.2903666
0,0.132692
0,0.12465278
1.80E-05,0.18121797
0.062324334,0.19426765
0.21285486,0.11090289
0.35410053,0.08923624
0.45502883,0.17210439
0.49705508,0.26024234
0.49421796,0.29687867
0.4365288,0.2723748
0.3268475,0.18689302
0.17874782,0.1260862
0.035258163,0.19057828
0,0.22922637
0,0.29184783
0,0.3810674
0,0.48378414
0,0.5490807
0,0.6053165
0,0.6413864
0,0.6302269
0,0.61178285
0,0.5847706
0,0.5435899
0,0.4104921
0,0.4084436
3.61E-05,0.40623266
0.06633683,0.4071047
0.22042905,0.33018366
0.36373103,0.30472776
0.46612653,0.48216778
0.50348556,0.53363943
0.49652773,0.49404022
0.4367538,0.45366836
0.3274783,0.40893614
0.17942755,0.3237899
0.036591426,0.28516677
0,0.28548527
0,0.2583632
0,0.24584024
0,0.24810386
0,0.26718652
0,0.30403012
0,0.33683953
0,0.37095946
0,0.3492615
0,0.3917733
0,0.40388954
0,0.42831182
0,0.37762076
7.23E-05,0.36765748
0.06798838,0.40767217
0.22441511,0.3343464
0.36945045,0.43336508
0.4706465,0.4949434
0.5157839,0.5879576
0.51150113,0.687109
0.45232335,0.7317998
0.34511548,0.72833675
0.19249111,0.7099634
0.04106397,0.885768
0,1
0,1
0,0.94716203
0,0.7477927
0,0.5896092
0,0.5443343
0,0.5103819
0,0.46153194
0,0.33427542
0,0.20821753
0,0.2616922
0,0.28910413
0,0.2784222
0.000145824,0.29067114
0.06323687,0.19006054
0.19819337,0.04888965
0.331757,0.05239778
0.45641637,0.06147196
